zipcode,proportion_of_foreigners,population,employee,workplaces
8001,31.125,5750,70167,5440
8002,36.7,9634,32485,2596
8003,33,39636,39432,3981
8004,36.16666667,28729,43353,4414
8005,32.4,15579,55580,3528
8006,28.85,34321,27194,3333
8008,36.1,16788,31504,4117
8032,28.55,18753,16486,2566
8037,28.3,16321,7402,1154
8038,29.1,18923,7811,1170
8041,33.6,6320,717,212
8044,30.7,8485,15382,902
8045,18.3,10933,5177,406
8046,33,26562,4106,911
8047,27.1,22304,8772,1104
8048,35.9,33461,43417,2670
8049,25.1,24020,9000,1126
8050,33.55,31796,25069,2094
8051,38.9,23901,5522,830
8052,39.3,25568,29652,1552
8053,26,10953,1878,519
